Index,CloneDirectory,Language,Code1,Percentage1,Code2,Percentage2
303,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/dynamic-load-apk_303,mixed,en,42.9,no,42.9
304,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/xUtils3_304,not english,vi,71.4,no,28.6
307,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/disconf_307,not english,vi,85.7,no,14.3
308,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/cachecloud_308,not english,vi,85.7,no,14.3
312,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/AndroidPicker_312,mixed,no,85.7,en,14.3
316,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/Android-ConvenientBanner_316,mixed,en,42.9,no,42.9
318,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/Douya_318,not english,zh-cn,100.0,,
320,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/ImagePicker_320,not english,no,71.4,vi,28.6
321,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/unknown/spring-cloud-netflix_321,unknown,,,,
329,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/unknown/quartz_329,unknown,,,,
334,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/canal_334,mixed,en,71.4,no,28.6
356,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/DropDownMenu_356,mixed,en,57.1,no,28.6
361,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/study_361,mixed,en,57.1,vi,42.9
371,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/StickyHeaderListView_371,mixed,en,71.4,no,28.6
372,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/CityPicker_372,mixed,no,85.7,en,14.3
